section,content,id
1.1,"1.1. Энэхүү Хөдөлмөрийн дотоод журам (цаашид “журам” гэх)-р “И-Монгол академи” УТҮГ  (цаашид “Академи” гэх)-ийн өдөр тутмын үйл ажиллагаа, ажил олгогч, албан хаагчийн хооронд бий болох хөдөлмөрийн харилцаа, ажил олгогч, албан хаагчдын эрх, үүрэг,  хариуцлага, ажил амралтын цаг, шагнал урамшуулал, хөдөлмөрийн сахилга, ажлын  хариуцлага, дэг журам, албан хаагчийн ёс зүй зэрэг байгууллагын дотоод  хөдөлмөрийн харилцааг зохицуулахад оршино.",d0d9c6fd2ed13270eef7d75378aad9efca8e35d354a1eaff33dad27d45c64e17
1.2,"1.2. Хөдөлмөрийн дотоод журам нь Хөдөлмөрийн тухай хууль, түүнд нийцүүлэн гаргасан эрх зүйн акт, холбогдох бусад хууль тогтоомж, дүрэм, журамд үндэслэсэн болно.  Хөдөлмөрийн хэм хэмжээ, Монгол Улсын хууль тогтоомж өөрчлөгдсөн, хүчингүй  болсон, шинэчлэн батлагдсан тохиолдолд түүнд нийцүүлэн журамд тухай бүрд өөрчлөлт оруулна.",37991d9ca7bad2f0b080faedd6dffa825f21ccf57cddb55a6661e77b6e66e8b8
1.3,"1.3. Дотоод журмын хэрэгжилтийг нэгжийн дарга нар зохион байгуулж, Захиргаа,  удирдлагын газар хяналт тавина.",d14b4f18e94680e5b3911ce8ac4c358c544db23def94725b65d8af3968b024ef
2.1,"2.1. Академийн удирдлага, зохион байгуулалт
2.1.1 Академийн бүтэц орон тоог Харилцаа холбооны асуудал эрхэлсэн төрийн  захиргааны төв байгууллага баталж, батлагдсан бүтэц орон тооны дагуу үйл  ажиллагаагаа хэрэгжүүлнэ.
2.1.2 Захирал нь Академийн үйл ажиллагааг хууль тогтоомжийн дагуу удирдан зохион  байгуулах бөгөөд Цахим хөгжил, харилцаа холбооны сайдад ажлаа хагас болон  бүтэн жилээр тайлагнана.
2.1.3 Захирлын эзгүйд түүний даалгасан албан хаагч байгууллагын өдөр тутмын үйл  ажиллагааг удирдан зохион байгуулна. Захирлын түр эзгүйд түүний ажлыг орлон  гүйцэтгэж байгаа албан хаагч нь захирлын тушаал гаргаж, гарын үсэг зурах эрхгүй  байна.
2.1.4 Нэгжийн дарга нар тухайн нэгжийн хариуцсан чиг үүрэг, эрхэлсэн ажлын хүрээнд  байгуулагдаж буй гэрээ, хэлэлцээрт гарын үсэг зурна.
2.1.5 Захирал нь өөрийн эрхэлсэн асуудлын хүрээнд нэгжийн дарга нар, ерөнхий  нягтлан бодогч, албан хаагчдын төлөөллөөс бүрдсэн захирлын зөвлөлийг  байгуулж болно
2.1.6 Нэгжийн дарга нар өөрийн шууд удирдлагын албан хаагчийг өдөр тутмын  удирдлага, зохион байгуулалтаар хангаж, нэгжийн үйл ажиллагааны  төлөвлөгөөний биелэлт, хүлээсэн үүрэг, чиглэл, ажлын гүйцэтгэл, хэрэгжилтийг  дээд шатны удирдлагын өмнө хариуцна. Хэлтсийн даргын эзгүйд түүний эрх,  үүргийг хэлтсийн ахлах мэргэжилтэн, эсхүл түүний даалгасан мэргэжилтэн,  албаны даргын эзгүйд харьяалах хэлтсийн дарга, ахлах мэргэжилтэн, эсхүл  даалгасан мэргэжилтэн орлоно.
2.1.7 Байгууллага нь ажилтнуудын санал хүсэлтийг ил тод, чөлөөтэй, нээлттэй хүлээн  авч шийдвэрлэх, ажлын үр бүтээмжийг сайжруулах шинэлэг, үр нөлөө бүхий  саналыг шийдвэр, үйл ажиллагаандаа тусгах зэргээр албан хаагчийн өөрийн үзэл  бодол, санал санаачилгыг илэрхийлэх нөхцөлийг бүрдүүлсэн байна.
2.1.8 Захирал нь хууль тогтоомжийн дагуу Академийн албан хаагчдыг томилох,  чөлөөлөх, урамшуулах, сахилгын шийтгэл ногдуулах шийдвэрийг гаргана.
2.1.9 Энэ журмаар зохицуулагдаагүй харилцааг уг харилцааг Хөдөлмөрийн тухай  хууль, нарийвчлан зохицуулсан хууль, тогтоомж, хэм хэмжээний бусад актаар  зохицуулна.",4c975b3065527dcd4d3e0b364e7536651fce7f4bc5e85054001333e094df6822
2.2,"2.2. Ажил төлөвлөх, тайлагнах, үнэлэх
2.2.1. Академи нь байгууллагын зорилго, зорилт, үндсэн чиг үүргээ хэрэгжүүлэх үйл  ажиллагааны төлөвлөгөөтэй ажиллана. Үйл ажиллагааны жилийн төлөвлөгөөг  боловсруулж, Цахим хөгжил, харилцаа холбооны асуудал эрхэлсэн сайдаар  батлуулна.
2.2.2. Байгууллагын жилийн үйл ажиллагааны төлөвлөгөөнд тусгагдсан арга  хэмжээнээс тухайн жилд хэрэгжүүлэх арга хэмжээг тусгасан “Нэгжийн гүйцэтгэлийн төлөвлөгөө”-г боловсруулах ба Захирлаар батлуулах ажлыг  Захиргаа, удирдлагын газар жил бүрийн 01 дүгээр сарын дотор зохион байгуулна.
2.2.3. Албан хаагч нь гүйцэтгэлийн төлөвлөгөөг харьяалах нэгжийн гүйцэтгэлийн  төлөвлөгөө, ажлын байрны тодорхойлолттой уялдуулан боловсруулж, жил  бүрийн 01 дүгээр сарын дотор харьяалах хэлтсийн даргаар батлуулан  хэрэгжүүлнэ.
2.2.4. Нэгжийн ажлын гүйцэтгэл, үр дүнг дүгнэхдээ үйл ажиллагааны төлөвлөгөөний  биелэлт, удирдлагаас өгсөн үүрэг даалгаврын биелэлт, идэвх санаачилга,  бүтээлч байдал, оролцоо зэргийг харгалзан дүгнэнэ.
2.2.5. Захиргаа, удирдлагын газар бусад нэгжүүдийн үйл ажиллагааны төлөвлөгөөний  биелэлт болон гүйцэтгэлийн тайланг нэгтгэн дүгнэх ба албан хаагчдыг шагнах,  урамшуулах, хариуцлага тооцох эсэх талаар харьяа нэгжийн дарга болон  Захиргаа, удирдлагын газрын гаргасан саналыг үндэслэн захирлын тушаалаар  шийдвэрлэнэ.
2.2.6. Албан хаагчид ажлаа хагас жил, бүтэн жилээр тайлагнаж, тайланг харьяа нэгжийн даргаар хянуулан Захиргаа, удирдлагын газрын даргад танилцуулах бөгөөд өдөр  тутмын ажлын гүйцэтгэлд харьяа нэгжийн дарга нар хяналт тавина.
2.2.7. Албан хаагч эрхэлсэн ажлын хүрээнд албан ёсоор илэрхийлж хэлсэн үг, гарын  үсэг зурсан аливаа албан тоот, тайлан, дүгнэлт болон бусад эрх зүйн актын үр  дагаврыг бүрэн хариуцна.
2.2.8. Төлөвлөгөө, тайланг буруу гаргасан, хугацаа хожимдуулсан хариуцлагыг тухайн  асуудлыг хариуцсан албан хаагч, мэргэжил арга зүйн удирдлагаар хангаж, хяналт  тавиагүй нэгжийн дарга хариуцна.",4ef665b3e1fed9359e7f097a8a41c14b5148730f2a763088e6948dd08d38d1cf
2.3,"2.3. Ажлын зохион байгуулалт
2.3.1. Академийн Захирал, нэгжийн дарга нар болон бусад холбогдох албан хаагчийг  оролцуулж сард 1-ээс багагүй удаа хуралдаж байгууллагын үйл ажиллагааны  төлөвлөгөөний биелэлт, хэрэгжилт, зохион байгуулалт, бусад холбоотой  бодлогын болон цаг үеийн тулгамдсан асуудлыг хэлэлцэнэ.
2.3.2. Нэгжийн дарга нар тухайн нэгжийн өдөр тутмын үйл ажиллагааны талаар  захиралд тогтмол танилцуулж шийдвэр, чиглэл авна.
2.3.3. Нэгжийн дотоод нийт албан хаагчдыг хурлыг тухайн нэгжийн ажлын зохион  байгуулалт, ачаалал зэргээс хамаарч хурлын давтамжийг зохион байгуулна.
2.3.4. Цаг үеийн нөхцөл байдалтай холбоотойгоор болон бусад шалтгаанаар захирал, нэгжийн дарга, эсхүл ажилтнуудын санаачилгаар шуурхай хурлыг зохион  байгуулж болно.
2.3.5. Албан хаагчийн албаны цахим шуудан (и-мэйл)-аар хүргүүлсэн мэдээ,  мэдээлэлтэй албан хаагчийг танилцсанд тооцох ба хурал, уулзалт, олон нийтийн  арга хэмжээний мэдээг цахим шуудан, байгууллагын дотоод удирдлагын систем,  утас, албан ёсны бүх албан хаагчид элссэн хаалттай мэдээллийн сувгаар хүргэнэ.  Бусад хэлбэрээр зарласан хурал, уулзалтад оролцоогүй нь албан хаагчид  хариуцлага хүлээлгэх үндэслэл болохгүй.
2.3.6. Албан хаагчийн ажил үүргийг хуваарилахдаа 1 албан хаагчид ногдох ажлын  ачаалал жигд байдлаар хуваарилах, хэт ачаалал үүрүүлэхгүй байх, албан  хаагчийн ажил амралтын цагийн тэнцвэрийг тооцоолох зэргээр албан хаагчд  ээлтэй байдлаар хуваарилна.",d32b276e2844a26970e28c74a956149c0b82c18a331160aada8abef25f303cee
2.4,"2.4. Гадаад харилцаа, хамтын ажиллагаа
2.4.1. Хууль, тогтоомжид заасан эрх хэмжээний хүрээнд ижил төстэй үйл ажиллагаа  явуулдаг Монгол Улсын болон гадаад орны, олон улсын байгууллагатай эрх  хэмжээний хүрээнд хамтран ажиллаж болно.
2.4.2. Гадаад харилцаа, хамтын ажиллагааны чиглэлээр гэрээ, хэлэлцээр байгуулах,  нэмэлт, өөрчлөлт оруулахдаа Монгол Улсад хүчин төгөлдөр мөрдөгдөж байгаа  хууль тогтоомж, шийдвэрийг мөрдлөг болгон, газрын үйл ажиллагаа, зорилт  зорилгод нийцсэн байхаар боловсруулна.
2.4.3. Шаардлагатай тохиолдолд Цахим хөгжил, харилцаа холбооны яамнаас чиглэл,  Гадаад хэргийн яамнаас холбогдох дүрэм, журамд заасны дагуу зөвшөөрөл авна.",abfe62fab044a4177e87f66e5d33b0cf669e1b66a52de12c64d6b2418871bf8d
2.5,"2.5. Байгууллагын тамга, тэмдэг, хэвлэмэл хуудас хэрэглэх
2.5.1. Академи нь байгууллагын дүрэмд заасны дагуу тогтоосон журмаар үйлдсэн  тэмдэг, хэвлэмэл хуудас хэрэглэх бөгөөд Засгийн газраас баталсан “Тамга,  тэмдэг, баталгааны тэмдэг, хэвлэмэл хуудас хийлгэх, хэрэглэх заавар”-ыг мөрдөж  ажиллана.
2.5.2. Тэмдгийг захирлаас итгэмжлэн хариуцуулсан этгээд түшиж, ашиглалт,  хамгаалалт, хадгалалтыг хариуцах бөгөөд тухайн албан хаагч өвчтэй, чөлөөтэй,  ээлжийн амралттай байх үед эзгүйд захирлын тушаалаар томилогдсон албан  хаагч түшнэ.
2.5.3. Академи нь бэлгэдэлтэй байх бөгөөд бэлгэдлийн загварыг захирлын тушаалаар  баталж, оюуны өмчийн асуудал эрхэлсэн төрийн захиргааны байгууллагад  бүртгүүлж, хэрэглэх эрхийг эдэлнэ.",630c9bce95538946e413c8ce429307dac362e376e1bc7a1a0457f9849f9e7825
3.1,"3.1. Ажлын цаг
3.1.1. Хөдөлмөрийн тухай хуульд заасны дагуу 7 хоногийн ажлын цаг 40-өөс илүүгүй  байна. Ажлын өдрийн үргэлжлэл 8 цаг, ажлын цаг өглөө 8:00 цагаас 10:00 цагийн  хооронд эхэлж, орой 17:00 цагаас 19:00 цагийн хооронд дуусна
3.1.2. Үдийн завсарлага",f10ace6b9dc4dcbe8529add4160a32fb157733c475808a172b44d5578c7a0d51
12.30,12.30 цагаас,1db605224f7a83258d4d3189c474ef4ea0eecc4dafa7e08870bd699ca4aae6ab
